example_id                                         | status | run_time        |
-------------------------------------------------- | ------ | --------------- |
./spec/fake_farm_spec.rb[1:1:1]                    | passed | 0.00076 seconds |
./spec/hacker_rank/clout_jumping_spec.rb[1:1:1]    | passed | 0.00008 seconds |
./spec/hacker_rank/clout_jumping_spec.rb[1:2:1]    | passed | 0.00017 seconds |
./spec/hacker_rank/clout_jumping_spec.rb[1:3:1]    | failed | 0.02154 seconds |
./spec/hacker_rank/clout_jumping_spec.rb[1:4:1]    | failed | 0.02322 seconds |
./spec/hacker_rank/clout_jumping_spec.rb[1:4:2]    | passed | 0.00009 seconds |
./spec/hacker_rank/counting_valleys_spec.rb[1:1:1] | passed | 0.00013 seconds |
./spec/hacker_rank/counting_valleys_spec.rb[1:2:1] | passed | 0.0001 seconds  |
./spec/hacker_rank/counting_valleys_spec.rb[1:3:1] | passed | 0.0002 seconds  |
./spec/hacker_rank/repeated_string_spec.rb[1:1:1]  | passed | 0.00019 seconds |
./spec/hacker_rank/repeated_string_spec.rb[1:1:2]  | passed | 0.00012 seconds |
./spec/hacker_rank/sock_merchant_spec.rb[1:1:1]    | passed | 0.00011 seconds |
./spec/ruby/fruit_cart_spec.rb[1:1:1]              | passed | 0.00151 seconds |
./spec/ruby/fruit_cart_spec.rb[1:1:2]              | failed | 0.00017 seconds |
